epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2650.75,0.8186,1.16466,0.84308,0.00668,0.55994,0.53421,0.69878,0.60973,0.50762,0.54215,0.70756,0.62137,0.50073,0.70789,1.00818,0.7343,0.00758,0,0.000205165,0.000205165,0.000205165
29,2745.02,0.80511,1.15224,0.82664,0.00666,0.56175,0.57158,0.78636,0.63723,0.53176,0.58109,0.80115,0.65377,0.52041,0.70405,1.01226,0.64915,0.00771,0,0.00019906,0.00019906,0.00019906
30,2839.55,0.80647,1.1479,0.81809,0.00653,0.55659,0.54295,0.83087,0.63363,0.52766,0.54761,0.82688,0.64345,0.51951,0.69805,1.0255,0.64535,0.00747,0,0.000192955,0.000192955,0.000192955
31,2933.9,0.8014,1.14581,0.80441,0.00658,0.53162,0.56391,0.8054,0.66455,0.55237,0.57113,0.81964,0.67648,0.53984,0.71333,1.00881,0.6457,0.0078,0,0.00018685,0.00018685,0.00018685
32,3028.55,0.80232,1.14066,0.79883,0.00656,0.54039,0.55092,0.79526,0.62268,0.51996,0.56033,0.80975,0.63299,0.50553,0.68777,1.01027,0.67618,0.00729,0,0.000180745,0.000180745,0.000180745
33,3123.05,0.78922,1.1228,0.78524,0.00639,0.54457,0.57739,0.78886,0.6555,0.54608,0.58743,0.80501,0.66904,0.53716,0.70069,1.01066,0.62569,0.00758,0,0.00017464,0.00017464,0.00017464
34,3217.44,0.79838,1.12839,0.7822,0.00647,0.53722,0.54955,0.80122,0.64174,0.53337,0.56046,0.81952,0.65461,0.52419,0.69067,1.00226,0.63829,0.00743,0,0.000168535,0.000168535,0.000168535
35,3311.91,0.78726,1.11089,0.77526,0.00633,0.52285,0.55533,0.81441,0.64593,0.53878,0.56359,0.82908,0.65992,0.5315,0.68801,1.00721,0.65585,0.00736,0,0.00016243,0.00016243,0.00016243
36,3406.31,0.79272,1.11698,0.7704,0.00641,0.52221,0.54984,0.81943,0.64831,0.5423,0.55919,0.83165,0.66192,0.53008,0.68381,0.98614,0.63048,0.00729,0,0.000156325,0.000156325,0.000156325
37,3500.79,0.78978,1.10739,0.76289,0.00629,0.52019,0.52056,0.79214,0.59464,0.49712,0.52713,0.80614,0.60658,0.48774,0.68189,0.98606,0.72483,0.00715,0,0.00015022,0.00015022,0.00015022
38,3595.24,0.77854,1.09447,0.75789,0.00623,0.52011,0.5508,0.79666,0.63833,0.53553,0.55814,0.81046,0.65103,0.52409,0.68636,0.97917,0.65051,0.00723,0,0.000144115,0.000144115,0.000144115
39,3689.67,0.78145,1.1124,0.7585,0.00624,0.51777,0.56255,0.76998,0.62993,0.52755,0.57291,0.7829,0.6428,0.5193,0.68327,0.98629,0.68334,0.00723,0,0.00013801,0.00013801,0.00013801
40,3784.26,0.77475,1.09274,0.74979,0.00622,0.51911,0.57378,0.80704,0.66154,0.55239,0.58783,0.81107,0.67411,0.54024,0.68829,0.98082,0.59528,0.00726,0,0.000131905,0.000131905,0.000131905
